GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent as a percentage of household income,Margin of Error; Median gross rent as a percentage of household income
8600000US06390,06390,ZCTA5 06390,21.7,21.1
8600000US10001,10001,ZCTA5 10001,27.3,2.0
8600000US10002,10002,ZCTA5 10002,30.1,1.1
8600000US10003,10003,ZCTA5 10003,28.0,1.7
8600000US10004,10004,ZCTA5 10004,28.6,2.6
8600000US10005,10005,ZCTA5 10005,28.3,2.4
8600000US10006,10006,ZCTA5 10006,24.9,4.5
8600000US10007,10007,ZCTA5 10007,18.8,3.6
8600000US10009,10009,ZCTA5 10009,27.9,0.9
8600000US10010,10010,ZCTA5 10010,24.7,1.2
8600000US10011,10011,ZCTA5 10011,24.7,1.2
8600000US10012,10012,ZCTA5 10012,26.8,1.8
8600000US10013,10013,ZCTA5 10013,29.9,2.3
8600000US10014,10014,ZCTA5 10014,24.9,1.4
8600000US10016,10016,ZCTA5 10016,27.3,1.1
8600000US10017,10017,ZCTA5 10017,25.3,1.9
8600000US10018,10018,ZCTA5 10018,31.1,4.3
8600000US10019,10019,ZCTA5 10019,26.6,1.4
8600000US10020,10020,ZCTA5 10020,,
8600000US10021,10021,ZCTA5 10021,26.1,1.3
8600000US10022,10022,ZCTA5 10022,27.5,1.4
8600000US10023,10023,ZCTA5 10023,26.0,1.5
8600000US10024,10024,ZCTA5 10024,24.8,1.2
8600000US10025,10025,ZCTA5 10025,27.3,0.9
8600000US10026,10026,ZCTA5 10026,29.8,1.6
8600000US10027,10027,ZCTA5 10027,29.7,1.6
8600000US10028,10028,ZCTA5 10028,24.8,1.4
8600000US10029,10029,ZCTA5 10029,28.5,0.8
8600000US10030,10030,ZCTA5 10030,30.9,2.0
8600000US10031,10031,ZCTA5 10031,34.4,2.1
8600000US10032,10032,ZCTA5 10032,31.4,1.7
8600000US10033,10033,ZCTA5 10033,34.5,2.0
8600000US10034,10034,ZCTA5 10034,29.7,1.5
